ANO4,TRIMESTRE,FECHA,PERIODO,AGLOMERADO_NOMBRE,ingreso_medio_real,ingreso_mediano_real,p25_real,p75_real,p90_real,ocupados,ocupados_con_ingreso_valido,no_respuesta_ingreso,tasa_no_respuesta_ingreso
2021,4,2021-10-01,2021T4,Mar del Plata,852309.9392014748,699612.1792219272,349806.0896109636,1049418.2688328908,1749030.448054818,486,280,188,38.68312757201646
2022,1,2022-01-01,2022T1,Mar del Plata,881914.4397170058,772166.256712379,463299.7540274274,1081032.7593973307,1544332.513424758,474,273,178,37.552742616033754
2022,2,2022-04-01,2022T2,Mar del Plata,798925.3074700034,718550.6569773066,457259.5089855587,1045164.5919669914,1306455.7399587391,429,284,128,29.836829836829835
2022,3,2022-07-01,2022T3,Mar del Plata,803186.6250228323,703914.8533869421,433178.37131504127,974651.3354588428,1624418.8924314047,447,310,129,28.859060402684566
2022,4,2022-10-01,2022T4,Mar del Plata,846677.8681508792,729460.1958284846,401203.10770566645,1094190.2937427268,1641285.44061409,432,299,125,28.935185185185187
2023,1,2023-01-01,2023T1,Mar del Plata,827146.777376613,688155.6071945104,458770.40479634027,1146926.0119908506,1529234.6826544676,498,298,187,37.55020080321285
2023,2,2023-04-01,2023T2,Mar del Plata,800174.1844608495,736034.2445154679,429353.3093006896,1104051.3667732019,1288059.9279020687,428,251,164,38.31775700934579
2023,3,2023-07-01,2023T3,Mar del Plata,819687.5338418124,719114.5417294387,431468.72503766324,958819.388972585,1438229.0834588774,482,275,199,41.286307053941904
2023,4,2023-10-01,2023T4,Mar del Plata,786900.4416673371,668509.3733240119,401105.6239944071,1002764.0599860178,1504146.0899790267,479,271,195,40.709812108559504
2024,1,2024-01-01,2024T1,Mar del Plata,698545.6948359561,614076.6900232862,409384.4600155241,818768.9200310482,1228153.3800465723,478,297,171,35.77405857740586
2024,2,2024-04-01,2024T2,Mar del Plata,873585.2823406996,647834.6266394714,469680.10431361676,987947.8056251939,1457627.9099388106,440,277,153,34.77272727272727
2024,3,2024-07-01,2024T3,Mar del Plata,915136.465891879,860601.7585272266,573734.5056848178,1147469.0113696356,1434336.2642120444,430,267,157,36.51162790697675
2024,4,2024-10-01,2024T4,Mar del Plata,940121.2564327493,854169.0280081377,525642.4787742386,1051284.9575484772,1708338.0560162754,422,222,193,45.7345971563981
2025,1,2025-01-01,2025T1,Mar del Plata,1081088.0290756887,974571.5023095879,609107.1889434925,1218214.377886985,1827321.5668304772,380,189,184,48.421052631578945
2025,2,2025-04-01,2025T2,Mar del Plata,1127537.5141584077,904327.0484101282,497379.8766255706,1243449.6915639264,2260817.6210253206,435,257,171,39.310344827586206
2025,3,2025-07-01,2025T3,Mar del Plata,1058869.1365821464,856962.0108564922,514177.2065138953,1071202.5135706153,1606803.7703559229,412,290,120,29.126213592233007
2025,4,2025-10-01,2025T4,Mar del Plata,1192570.3620062019,1000000.0,600000.0,1400000.0,2200000.0,414,270,137,33.091787439613526
2016,2,2016-04-01,2016T2,Neuquen-Plottier,,,,,,453,0,213,47.019867549668874
2016,3,2016-07-01,2016T3,Neuquen-Plottier,,,,,,449,0,223,49.665924276169264
2016,4,2016-10-01,2016T4,Neuquen-Plottier,1267900.4617640828,1182663.676,788442.4506666666,1576884.9013333332,1971106.126666667,432,199,231,53.47222222222222
2017,1,2017-01-01,2017T1,Neuquen-Plottier,1234513.5474798253,1139296.7258944048,759531.1505962699,1519062.3011925397,2088710.6641397423,435,207,224,51.49425287356322
2017,2,2017-04-01,2017T2,Neuquen-Plottier,1345157.4900366825,1249250.5129857294,713857.4359918452,1784643.5899796134,2498501.0259714588,470,393,72,15.319148936170212
2017,3,2017-07-01,2017T3,Neuquen-Plottier,1510037.3144087775,1304637.9440155274,852704.5385722402,1705409.0771444803,2728654.5234311684,476,405,65,13.655462184873949
2017,4,2017-10-01,2017T4,Neuquen-Plottier,1476341.2886523623,1295564.3343528442,809727.7089705277,1943346.5015292666,2834046.981396847,466,395,67,14.377682403433475
