variable,categoria,anio,aglomerado,tasa_actividad,tasa_empleo,tasa_desocupacion,casos
NIVEL_ED_DESC,Primaria incompleta,2016,Neuquen-Plottier,10.028007969277857,9.440418098345509,5.859487474805643,520
NIVEL_ED_DESC,Secundaria completa,2016,Neuquen-Plottier,68.68150391237232,64.9773182949982,5.393279713414739,614
NIVEL_ED_DESC,Secundaria incompleta,2016,Neuquen-Plottier,43.31286303604643,38.69457692987105,10.66262025286088,727
NIVEL_ED_DESC,Sin instruccion,2016,Neuquen-Plottier,2.1040773312013954,2.1040773312013954,0.0,313
NIVEL_ED_DESC,Superior/univ. completa,2016,Neuquen-Plottier,79.79292258438065,78.20351259607415,1.9919185020772865,303
NIVEL_ED_DESC,Superior/univ. incompleta,2016,Neuquen-Plottier,46.40864954204255,43.78210867020177,5.659593411485384,264
NIVEL_ED_DESC,Primaria completa,2017,Mar del Plata,47.916744956270556,43.47215019578664,9.275660866655514,784
NIVEL_ED_DESC,Primaria incompleta,2017,Mar del Plata,12.670754485835293,11.648693626756867,8.066298342541437,609
NIVEL_ED_DESC,Secundaria completa,2017,Mar del Plata,63.02781032222374,55.327407120899686,12.217469021938854,854
NIVEL_ED_DESC,Secundaria incompleta,2017,Mar del Plata,41.75711648873512,35.117286412584754,15.901074198793413,1035
NIVEL_ED_DESC,Sin instruccion,2017,Mar del Plata,1.4032938226578526,1.163475419800927,17.089678510998308,404
NIVEL_ED_DESC,Superior/univ. completa,2017,Mar del Plata,79.2676368603205,77.93375805424596,1.682753339077087,569
NIVEL_ED_DESC,Superior/univ. incompleta,2017,Mar del Plata,65.57042319213109,57.662130367637154,12.060762214880736,534
NIVEL_ED_DESC,Primaria completa,2017,Neuquen-Plottier,51.57287086991998,48.14945622389205,6.638014499256145,645
NIVEL_ED_DESC,Primaria incompleta,2017,Neuquen-Plottier,9.283209471415244,8.386685111904685,9.657482816380753,719
NIVEL_ED_DESC,Secundaria completa,2017,Neuquen-Plottier,70.89732188665047,66.3730888942094,6.381387719657955,881
NIVEL_ED_DESC,Secundaria incompleta,2017,Neuquen-Plottier,38.815184119361405,36.110123357222726,6.9690787858181755,1049
NIVEL_ED_DESC,Sin instruccion,2017,Neuquen-Plottier,3.167190631708533,2.914873485334066,7.9665917121747505,381
NIVEL_ED_DESC,Superior/univ. completa,2017,Neuquen-Plottier,77.66039572389951,74.47345897595113,4.103683374571858,421
NIVEL_ED_DESC,Superior/univ. incompleta,2017,Neuquen-Plottier,46.509119982150494,44.11802986073666,5.141120972255537,397
NIVEL_ED_DESC,Primaria completa,2018,Mar del Plata,49.88423166818741,45.128002783920124,9.534533709778417,728
NIVEL_ED_DESC,Primaria incompleta,2018,Mar del Plata,11.797583178614794,10.301363878734927,12.682422130254848,601
NIVEL_ED_DESC,Secundaria completa,2018,Mar del Plata,67.20328269482016,59.170743257241675,11.95259980685082,914
NIVEL_ED_DESC,Secundaria incompleta,2018,Mar del Plata,43.60298422324632,37.5431571520783,13.897734705821598,1028
NIVEL_ED_DESC,Sin instruccion,2018,Mar del Plata,1.6468048077952175,1.6468048077952175,0.0,411
NIVEL_ED_DESC,Superior/univ. completa,2018,Mar del Plata,79.37270010914231,77.43348581448193,2.443175414208964,620
NIVEL_ED_DESC,Superior/univ. incompleta,2018,Mar del Plata,67.57879622036741,57.661513962659626,14.675138967211796,561
NIVEL_ED_DESC,Primaria completa,2018,Neuquen-Plottier,49.004980033814235,46.08406191820114,5.960451598179646,606
NIVEL_ED_DESC,Primaria incompleta,2018,Neuquen-Plottier,10.3503023910775,9.781425670141266,5.496232858149494,688
NIVEL_ED_DESC,Secundaria completa,2018,Neuquen-Plottier,72.75748341547221,69.23993328568024,4.834623140695289,887
NIVEL_ED_DESC,Secundaria incompleta,2018,Neuquen-Plottier,38.01904051910709,35.37291803752572,6.959992796902668,1005
NIVEL_ED_DESC,Sin instruccion,2018,Neuquen-Plottier,3.143662761169198,3.143662761169198,0.0,429
NIVEL_ED_DESC,Superior/univ. completa,2018,Neuquen-Plottier,76.09526525955505,73.54107244723332,3.356572585179354,478
NIVEL_ED_DESC,Superior/univ. incompleta,2018,Neuquen-Plottier,48.62449341098795,46.996251464970435,3.348604441500616,403
NIVEL_ED_DESC,Primaria completa,2019,Mar del Plata,52.710997215932075,47.9335012237499,9.063565943575354,679
NIVEL_ED_DESC,Primaria incompleta,2019,Mar del Plata,13.285463831084687,11.315496607973168,14.827989810203565,639
NIVEL_ED_DESC,Secundaria completa,2019,Mar del Plata,70.34519563530296,62.42160431336683,11.263869906645972,943
NIVEL_ED_DESC,Secundaria incompleta,2019,Mar del Plata,40.086588528970104,33.230103165161765,17.104187748112402,988
